name,description,price,location,url,page
iphone 13,Iphone 13,"EGP 28,000","Warraq, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206199751.html,3
iphone 13,iphone 13pro,"EGP 34,000","Al Hadrah, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13pro-ID206199524.html,3
iphone 13,iphone 13 battery 100%,"EGP 27,000","Mokattam, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-battery-100-ID206199040.html,3
iphone 13,iphon 13,"EGP 27,000","Smoha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphon-13-ID206199012.html,3
iphone 13,Iphone 13 - pink - 128,"EGP 25,000
Negotiable","Dokki, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pink-128-ID206198824.html,3
iphone 13,iphone 13 Zero Taxes,"EGP 26,500","Badrasheen, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-zero-taxes-ID206198691.html,3
iphone 13,iphone 13 for sale,"EGP 23,000","1st Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-for-sale-ID206198216.html,3
iphone 13,iPhone13 pro max,"EGP 30,000","Saba Pasha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone13-pro-max-ID202919224.html,3
iphone 13,IPhone 13 pro max 256,"EGP 39,000","The Pearl, New Mansoura•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-256-ID206197290.html,3
iphone 13,iPhone 13 Pro Max,"EGP 35,000","Obour City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206197105.html,3
iphone 13,iPhone 13 Pro,"EGP 30,000","Al Hadaba Al Olya, Mokattam•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-ID206196998.html,3
iphone 13,iphone 13 with box,"EGP 20,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-with-box-ID206196858.html,3
iphone 13,iPhone 13 water prof,"EGP 21,000","New Obour City, Obour City•",https://www.dubizzle.com.eg/en/ad/iphone-13-water-prof-ID206196845.html,3
iphone 13,iPhone 13,"EGP 24,500","Helmeyat El Zaytoun, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206196595.html,3
iphone 13,iPhone 13pro/128,"EGP 28,000","Kingsway, 6th of October•",https://www.dubizzle.com.eg/en/ad/iphone-13pro128-ID206196446.html,3
iphone 13,iphone 13 128G,"EGP 24,800
Negotiable","Awayed, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-ID206196272.html,3
iphone 13,iphone 13 128G used,"EGP 15,750","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-used-ID206196212.html,3
iphone 13,Iphone 13 93%,"EGP 25,500","Rod al-Farag, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-93-ID206196103.html,3
iphone 13,iPhone 13,"EGP 16,200","Shubra, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206196097.html,3
iphone 13,iPhone 13 mini,"EGP 15,000
Negotiable","Zamalek, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-mini-ID206196095.html,3
iphone 13,iphone 13 بدون box للبيع,"EGP 20,000
Negotiable","Palm, Zahraa Al Maadi•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%A8%D8%AF%D9%88%D9%86-box-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID206196051.html,4
iphone 13,‏جهازين iPhone 13,"EGP 43,000","5th Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/%D8%AC%D9%87%D8%A7%D8%B2%D9%8A%D9%86-iphone-13-ID206195950.html,4
iphone 13,iphone 13 128G used,"EGP 24,000","Nasr City, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-128g-used-ID206195817.html,4
iphone 13,iphone 13بيع اوبدل,"EGP 17,999","Bahtim, Qalyubia•",https://www.dubizzle.com.eg/en/ad/iphone-13%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88%D8%A8%D8%AF%D9%84-ID206195803.html,4
